#db1	pw1	db2	pw2	name_jaccard	node_jaccard
netpath	Wnt.txt	pid	Noncanonical_Wnt_signaling_pathway.txt	wnt	0.254717
netpath	TNFalpha.txt	pid	HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	tnfalpha	0.133891
netpath	TCR.txt	pid	TCR_signaling_in_naïve_CD4+_T_cells.txt	tcr	0.409091
netpath	BCR.txt	pid	BCR_signaling_pathway.txt	bcr	0.510949
netpath	IL2.txt	pid	IL2_signaling_events_mediated_by_PI3K.txt	il2	0.417910
netpath	Notch.txt	pid	Notch_signaling_pathway.txt	notch	0.418919
netpath	Hedgehog.txt	pid	Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	hedgehog	0.388889
netpath	Wnt.txt	panther	Wnt_signaling_pathway.txt	wnt	0.528302
netpath	Notch.txt	panther	Notch_signaling_pathway.txt	notch	0.270270
netpath	Hedgehog.txt	panther	Hedgehog_signaling_pathway.txt	hedgehog	0.222222
netpath	Wnt.txt	inoh	Signaling_with_Wnt_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	wnt	0.273585
netpath	IL5.txt	inoh	IL-5_signaling_pathway~JAK1_JAK2_STAT1_STAT5~_~_IL-5_signaling~JAK1_JAK2_STAT1_STAT5~_~.txt	il5	0.266667
netpath	IL3.txt	inoh	IL-3_signaling_pathway~JAK1_JAK2_STAT5~_~_IL-3_signaling~JAK1_JAK2_STAT5~_~.txt	il3	0.100000
netpath	IL4.txt	inoh	IL-4_signaling_pathway~JAK1_JAK3_STAT6~_~_IL-4_signaling~JAK1_JAK3_STAT6~_~.txt	il4	0.122807
netpath	IL2.txt	inoh	IL-2_signaling_pathway~JAK1_JAK3_STAT5~_~_IL-2_signaling~JAK1_JAK3_STAT5~_~.txt	il2	0.104478
netpath	Notch.txt	inoh	Canonical_Notch_signaling_pathway_~_Notch_signaling_pathway_Diagram_~.txt	notch	0.243243
netpath	IL7.txt	inoh	IL-7_signaling_pathway~JAK1_JAK3_STAT5~_~_IL-7_signaling~JAK1_JAK3_STAT5~_~.txt	il7	0.444444
netpath	IL1.txt	inoh	IL-1_signaling~through_IKK-NFkB_cascade~~canonical~_~_IL-1_signaling_pathway_~through_NF-kappaB~_~.txt	il1	0.325581
netpath	Hedgehog.txt	inoh	Ci-Gli_processing_signaling_~_Hedgehog_signaling_pathway_~.txt	hedgehog	0.111111
netpath	IL6.txt	inoh	IL-6_signaling_pathway~JAK1_JAK2_STAT3~_~_IL-6_signaling~JAK1_JAK2_STAT3~_~.txt	il6	0.113208
netpath	Wnt.txt	kegg_expanded	Wnt_signaling_pathway.txt	wnt	0.594340
netpath	Notch.txt	kegg_expanded	Notch_signaling_pathway.txt	notch	0.297297
netpath	Hedgehog.txt	kegg_expanded	Hedgehog_signaling_pathway.txt	hedgehog	0.472222
netpath	Prolactin.txt	kegg_expanded	Prolactin_signaling_pathway.txt	prolactin	0.279412
pid	IL2_signaling_events_mediated_by_PI3K.txt	netpath	IL2.txt	il2	0.175000
